Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,764959,-,-,-,41.65,-93.9,-6,311,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Solar Zenith Angle,Wind Speed,Relative Humidity,Temperature,Pressure,
2017,1,1,0,0,0,0,0,-8,160.9,2.1,77.63,-6,970,N/A
2017,1,1,0,30,0,0,0,-8,161.19,2.1,77.63,-6,970,N/A
2017,1,1,1,0,0,0,0,-8,159.46,2.2,83.54,-6,970,N/A
2017,1,1,1,30,0,0,0,-8,156.17000000000002,2.1,83.54,-6,970,N/A
2017,1,1,2,0,0,0,0,-8,151.86,2.1,83.06,-6,970,N/A
2017,1,1,2,30,0,0,0,-8,146.96,2,83.05,-6,970,N/A
2017,1,1,3,0,0,0,0,-8,141.70000000000002,1.9000000000000001,82.11,-7,970,N/A
2017,1,1,3,30,0,0,0,-8,136.25,1.9000000000000001,82.10000000000001,-7,970,N/A
2017,1,1,4,0,0,0,0,-8,130.69,2,87.74,-7,970,N/A
2017,1,1,4,30,0,0,0,-8,125.09,2.1,87.75,-7,970,N/A
2017,1,1,5,0,0,0,0,-8,119.5,2.2,87.84,-7,970,N/A
2017,1,1,5,30,0,0,0,-8,113.95,2.2,87.87,-7,970,N/A
2017,1,1,6,0,0,0,0,-8,108.48,2.3000000000000003,88.82000000000001,-7,970,N/A
2017,1,1,6,30,0,0,0,-8,103.12,2.1,88.84,-7,970,N/A
2017,1,1,7,0,0,0,0,-8,97.91,2,90.01,-7,970,N/A
2017,1,1,7,30,0,0,0,-8,92.88,2.1,83.38,-6,970,N/A
2017,1,1,8,0,13,0,13,-7,88.07000000000001,2.2,86.36,-6,970,N/A
2017,1,1,8,30,41,102,52,-7,83.55,2.6,80.06,-5,970,N/A
2017,1,1,9,0,71,137,97,-7,79.35000000000001,3,78.72,-4,970,N/A
2017,1,1,9,30,100,160,140,-7,75.54,3.1,73.07000000000001,-3,970,N/A
2017,1,1,10,0,126,171,179,-6,72.2,3.2,71.62,-2,970,N/A
2017,1,1,10,30,147,182,211,-6,69.37,3.4000000000000004,66.55,-1,970,N/A
2017,1,1,11,0,156,288,268,-6,67.15,3.6,62.79,0,970,N/A
2017,1,1,11,30,149,413,319,-6,65.59,3.3000000000000003,62.76,0,970,N/A
2017,1,1,12,0,187,180,264,-6,64.74,3.1,63.32,0,970,N/A
2017,1,1,12,30,61,0,61,-6,64.63,2.8000000000000003,63.29,0,970,N/A
2017,1,1,13,0,181,192,262,-5,65.26,2.5,60.06,1,970,N/A
2017,1,1,13,30,157,315,282,-5,66.61,2.2,60.050000000000004,0,970,N/A
2017,1,1,14,0,147,292,254,-5,68.65,1.9000000000000001,64.13,0,970,N/A
2017,1,1,14,30,127,281,217,-5,71.3,1.5,68.92,0,970,N/A
2017,1,1,15,0,104,261,174,-3,74.49,1.2000000000000002,77.36,0,970,N/A
2017,1,1,15,30,78,228,125,-3,78.17,1.5,77.36,0,970,N/A
2017,1,1,16,0,49,185,74,-4,82.26,1.8,72.55,0,970,N/A
2017,1,1,16,30,21,90,27,-4,86.69,2.3000000000000003,72.54,0,970,N/A
2017,1,1,17,0,0,0,0,-5,91.42,2.8000000000000003,73.54,-1,970,N/A
2017,1,1,17,30,0,0,0,-5,96.38,3,73.55,-1,970,N/A
2017,1,1,18,0,0,0,0,-5,101.55,3.4000000000000004,72.7,-1,970,N/A
2017,1,1,18,30,0,0,0,-5,106.87,3.5,72.7,-1,970,N/A
2017,1,1,19,0,0,0,0,-5,112.31,3.6,72.14,-1,970,N/A
2017,1,1,19,30,0,0,0,-5,117.83,3.7,72.14,-1,970,N/A
2017,1,1,20,0,0,0,0,-5,123.42,3.9000000000000004,76.75,-2,970,N/A
2017,1,1,20,30,0,0,0,-5,129.02,3.9000000000000004,76.74,-2,970,N/A
2017,1,1,21,0,0,0,0,-5,134.59,3.9000000000000004,75.87,-2,970,N/A
2017,1,1,21,30,0,0,0,-5,140.08,3.7,75.87,-2,970,N/A
2017,1,1,22,0,0,0,0,-5,145.4,3.5,76.29,-2,970,N/A
2017,1,1,22,30,0,0,0,-5,150.42000000000002,3.4000000000000004,76.29,-2,970,N/A
2017,1,1,23,0,0,0,0,-5,154.93,3.3000000000000003,77.2,-3,970,N/A
2017,1,1,23,30,0,0,0,-5,158.56,3.1,77.2,-3,970,N/A
2017,1,2,0,0,0,0,0,-5,160.79,3,84.82000000000001,-3,970,N/A
2017,1,2,0,30,0,0,0,-5,161.11,3,84.8,-3,970,N/A
2017,1,2,1,0,0,0,0,-4,159.42000000000002,3,86.84,-3,970,N/A
2017,1,2,1,30,0,0,0,-4,156.16,3.1,80.64,-2,970,N/A
2017,1,2,2,0,0,0,0,-4,151.87,3.2,82.99,-2,970,N/A
2017,1,2,2,30,0,0,0,-4,146.98,3.2,82.97,-2,970,N/A
2017,1,2,3,0,0,0,0,-4,141.73,3.2,85.17,-2,970,N/A
2017,1,2,3,30,0,0,0,-4,136.28,3.2,85.14,-2,970,N/A
2017,1,2,4,0,0,0,0,-3,130.73,3.2,87.05,-2,970,N/A
2017,1,2,4,30,0,0,0,-3,125.13000000000001,3.2,87.05,-2,970,N/A
2017,1,2,5,0,0,0,0,-3,119.53,3.2,88.86,-2,970,N/A
2017,1,2,5,30,0,0,0,-3,113.98,3.1,88.87,-2,970,N/A
2017,1,2,6,0,0,0,0,-3,108.51,3.1,90.85000000000001,-2,970,N/A
2017,1,2,6,30,0,0,0,-3,103.14,3,84.43,-1,970,N/A
2017,1,2,7,0,0,0,0,-2,97.93,2.9000000000000004,86.63,-1,970,N/A
2017,1,2,7,30,0,0,0,-2,92.89,2.9000000000000004,86.62,-1,970,N/A
2017,1,2,8,0,4,0,4,-2,88.08,3,89.4,-1,970,N/A
2017,1,2,8,30,20,0,20,-2,83.55,3.1,83.11,0,970,N/A
2017,1,2,9,0,39,0,39,-1,79.34,3.2,86.62,0,970,N/A
2017,1,2,9,30,58,0,58,-1,75.52,3.2,86.61,0,970,N/A
2017,1,2,10,0,76,0,76,-1,72.16,3.3000000000000003,91.09,0,970,N/A
2017,1,2,10,30,91,0,91,-1,69.33,3.2,91.05,0,970,N/A
2017,1,2,11,0,87,0,87,0,67.09,3.2,90.41,1,970,N/A
2017,1,2,11,30,88,0,88,0,65.52,3.1,90.36,1,970,N/A
2017,1,2,12,0,76,0,76,0,64.65,3,88.83,2,970,N/A
2017,1,2,12,30,39,0,39,0,64.53,2.9000000000000004,88.79,2,970,N/A
2017,1,2,13,0,67,0,67,0,65.15,2.8000000000000003,92.12,2,970,N/A
2017,1,2,13,30,18,0,18,0,66.5,2.5,92.11,2,970,N/A
2017,1,2,14,0,16,0,16,1,68.52,2.2,95.06,2,970,N/A
2017,1,2,14,30,14,0,14,1,71.17,1.7000000000000002,95.08,2,970,N/A
2017,1,2,15,0,11,0,11,1,74.36,1.3,96.92,2,970,N/A
2017,1,2,15,30,77,374,155,1,78.03,1.3,100,1,970,N/A
2017,1,2,16,0,55,246,89,1,82.12,1.3,100,1,970,N/A
2017,1,2,16,30,25,91,30,0,86.55,1.2000000000000002,100,0,970,N/A
2017,1,2,17,0,0,0,0,0,91.28,1.2000000000000002,100,0,970,N/A
2017,1,2,17,30,0,0,0,0,96.24000000000001,1.1,100,0,970,N/A
2017,1,2,18,0,0,0,0,0,101.4,1,100,0,970,N/A
2017,1,2,18,30,0,0,0,0,106.72,0.8,100,0,970,N/A
2017,1,2,19,0,0,0,0,0,112.16,0.7000000000000001,100,0,970,N/A
2017,1,2,19,30,0,0,0,0,117.69,0.7000000000000001,100,0,970,N/A
2017,1,2,20,0,0,0,0,0,123.28,0.7000000000000001,100,0,970,N/A
2017,1,2,20,30,0,0,0,0,128.87,1.2000000000000002,100,0,970,N/A
2017,1,2,21,0,0,0,0,0,134.45,1.7000000000000002,100,0,970,N/A
2017,1,2,21,30,0,0,0,0,139.93,2.6,100,0,970,N/A
2017,1,2,22,0,0,0,0,0,145.25,3.5,100,0,970,N/A
2017,1,2,22,30,0,0,0,0,150.28,3.9000000000000004,100,0,970,N/A
2017,1,2,23,0,0,0,0,0,154.79,4.4,99.57000000000001,0,970,N/A
2017,1,2,23,30,0,0,0,0,158.43,4.3,99.57000000000001,0,970,N/A
2017,1,3,0,0,0,0,0,0,160.68,4.2,97.64,0,970,N/A
2017,1,3,0,30,0,0,0,0,161.03,4.1000000000000005,97.64,0,970,N/A
2017,1,3,1,0,0,0,0,0,159.37,4.1000000000000005,95.16,0,970,N/A
2017,1,3,1,30,0,0,0,0,156.14000000000001,4.3,95.17,0,970,N/A
2017,1,3,2,0,0,0,0,-1,151.87,4.6000000000000005,92.16,0,970,N/A
2017,1,3,2,30,0,0,0,-1,146.99,4.7,92.17,0,970,N/A
2017,1,3,3,0,0,0,0,-1,141.75,4.9,88.47,0,970,N/A
2017,1,3,3,30,0,0,0,-1,136.31,5.1000000000000005,88.49,0,970,N/A
2017,1,3,4,0,0,0,0,-2,130.75,5.4,89.54,-1,970,N/A
2017,1,3,4,30,0,0,0,-2,125.16,5.800000000000001,89.57000000000001,-1,970,N/A
2017,1,3,5,0,0,0,0,-3,119.56,6.2,80.83,-2,970,N/A
2017,1,3,5,30,0,0,0,-3,114.01,6.5,80.86,-2,970,N/A
2017,1,3,6,0,0,0,0,-5,108.53,6.800000000000001,76.72,-2,970,N/A
2017,1,3,6,30,0,0,0,-5,103.16,7,76.75,-2,970,N/A
2017,1,3,7,0,0,0,0,-7,97.94,7.2,72.02,-3,970,N/A
2017,1,3,7,30,0,0,0,-7,92.9,7.2,72.05,-3,970,N/A
2017,1,3,8,0,14,0,14,-8,88.08,7.300000000000001,68.76,-4,970,N/A
2017,1,3,8,30,42,116,56,-8,83.54,7.4,68.79,-4,980,N/A
2017,1,3,9,0,73,174,106,-10,79.32000000000001,7.5,65.57000000000001,-5,980,N/A
2017,1,3,9,30,101,212,155,-10,75.49,7.5,65.61,-5,980,N/A
2017,1,3,10,0,126,240,200,-11,72.12,7.6000000000000005,58.61,-5,980,N/A
2017,1,3,10,30,139,280,238,-11,69.28,7.7,58.620000000000005,-5,980,N/A
2017,1,3,11,0,160,52,181,-12,67.03,7.800000000000001,54.800000000000004,-6,980,N/A
2017,1,3,11,30,173,260,281,-12,65.44,7.9,54.800000000000004,-5,980,N/A
2017,1,3,12,0,104,645,382,-13,64.56,8,53.28,-5,980,N/A
2017,1,3,12,30,131,544,366,-13,64.43,8,53.27,-5,980,N/A
2017,1,3,13,0,125,549,357,-13,65.04,8,52.06,-5,980,N/A
2017,1,3,13,30,150,366,297,-13,66.38,8,52.07,-5,980,N/A
2017,1,3,14,0,71,820,373,-13,68.39,8,50.25,-5,980,N/A
2017,1,3,14,30,67,785,322,-13,71.03,7.800000000000001,50.27,-5,980,N/A
2017,1,3,15,0,58,751,262,-14,74.22,7.7,52.03,-6,980,N/A
2017,1,3,15,30,50,674,191,-14,77.89,7.300000000000001,52.04,-6,980,N/A
2017,1,3,16,0,38,565,117,-14,81.98,7,54.07,-7,980,N/A
2017,1,3,16,30,22,357,45,-14,86.41,6.7,54.08,-7,980,N/A
2017,1,3,17,0,0,0,0,-15,91.13,6.5,56.36,-8,980,N/A
2017,1,3,17,30,0,0,0,-15,96.10000000000001,6.4,56.38,-8,980,N/A
2017,1,3,18,0,0,0,0,-15,101.26,6.4,57.93,-9,980,N/A
2017,1,3,18,30,0,0,0,-15,106.58,6.4,57.95,-9,980,N/A
2017,1,3,19,0,0,0,0,-16,112.02,6.4,60.03,-10,980,N/A
2017,1,3,19,30,0,0,0,-16,117.55,6.4,60.04,-10,980,N/A
2017,1,3,20,0,0,0,0,-16,123.13000000000001,6.4,62.5,-11,980,N/A
2017,1,3,20,30,0,0,0,-16,128.73,6.4,62.51,-11,980,N/A
2017,1,3,21,0,0,0,0,-17,134.3,6.4,64.84,-12,980,N/A
2017,1,3,21,30,0,0,0,-17,139.79,6.300000000000001,64.84,-12,980,N/A
2017,1,3,22,0,0,0,0,-17,145.11,6.300000000000001,62.01,-12,980,N/A
2017,1,3,22,30,0,0,0,-17,150.13,6.1000000000000005,62.01,-12,980,N/A
2017,1,3,23,0,0,0,0,-18,154.64000000000001,6.1000000000000005,64.61,-13,980,N/A
2017,1,3,23,30,0,0,0,-18,158.29,6,64.62,-13,980,N/A
2017,1,4,0,0,0,0,0,-18,160.56,5.9,62.620000000000005,-14,980,N/A
2017,1,4,0,30,0,0,0,-18,160.93,5.7,62.620000000000005,-14,980,N/A
2017,1,4,1,0,0,0,0,-18,159.31,5.5,66.14,-14,980,N/A
2017,1,4,1,30,0,0,0,-18,156.11,5.300000000000001,66.14,-14,980,N/A
2017,1,4,2,0,0,0,0,-19,151.86,5.2,64.31,-14,980,N/A
2017,1,4,2,30,0,0,0,-19,147,5.1000000000000005,64.31,-14,980,N/A
2017,1,4,3,0,0,0,0,-19,141.77,5,67.66,-15,980,N/A
2017,1,4,3,30,0,0,0,-19,136.33,5,67.65,-15,980,N/A
2017,1,4,4,0,0,0,0,-20,130.78,5,65.36,-15,980,N/A
2017,1,4,4,30,0,0,0,-20,125.18,5,65.36,-15,980,N/A
2017,1,4,5,0,0,0,0,-20,119.58,5.1000000000000005,63.13,-15,980,N/A
2017,1,4,5,30,0,0,0,-20,114.03,5.1000000000000005,63.13,-15,980,N/A
2017,1,4,6,0,0,0,0,-20,108.55,5.300000000000001,60.9,-15,980,N/A
2017,1,4,6,30,0,0,0,-20,103.18,5.300000000000001,60.9,-15,980,N/A
2017,1,4,7,0,0,0,0,-21,97.95,5.300000000000001,59.04,-15,980,N/A
2017,1,4,7,30,0,0,0,-21,92.9,5.300000000000001,59.03,-15,980,N/A
2017,1,4,8,0,25,0,25,-21,88.07000000000001,5.4,57.44,-15,980,N/A
2017,1,4,8,30,31,554,94,-21,83.52,5.4,52.910000000000004,-14,980,N/A
2017,1,4,9,0,41,702,172,-21,79.3,5.5,52.04,-14,980,N/A
2017,1,4,9,30,49,788,247,-21,75.46000000000001,5.4,47.980000000000004,-13,980,N/A
2017,1,4,10,0,53,851,315,-21,72.07000000000001,5.4,48.36,-13,980,N/A
2017,1,4,10,30,57,888,372,-21,69.22,5.2,44.59,-12,980,N/A
2017,1,4,11,0,92,643,344,-21,66.95,5.1000000000000005,46.06,-12,980,N/A
2017,1,4,11,30,140,464,334,-21,65.35,5,42.49,-11,980,N/A
2017,1,4,12,0,129,553,367,-20,64.46000000000001,4.9,43.99,-11,980,N/A
2017,1,4,12,30,122,583,375,-20,64.32000000000001,4.800000000000001,40.62,-10,980,N/A
2017,1,4,13,0,140,482,345,-20,64.92,4.7,41.4,-10,980,N/A
2017,1,4,13,30,95,647,356,-20,66.25,4.6000000000000005,41.39,-10,980,N/A
2017,1,4,14,0,120,463,292,-20,68.26,4.6000000000000005,41.53,-10,980,N/A
2017,1,4,14,30,110,430,251,-20,70.89,4.4,41.51,-10,980,N/A
2017,1,4,15,0,61,743,265,-20,74.08,4.3,45.06,-11,980,N/A
2017,1,4,15,30,53,661,193,-20,77.74,4,45.050000000000004,-11,980,N/A
2017,1,4,16,0,41,531,117,-20,81.83,3.8000000000000003,45.410000000000004,-11,980,N/A
2017,1,4,16,30,24,319,45,-20,86.26,3.6,45.410000000000004,-11,980,N/A
2017,1,4,17,0,0,0,0,-20,90.98,3.4000000000000004,50.17,-12,980,N/A
2017,1,4,17,30,0,0,0,-20,95.95,3.2,50.160000000000004,-12,980,N/A
2017,1,4,18,0,0,0,0,-19,101.11,3.1,51.71,-12,980,N/A
2017,1,4,18,30,0,0,0,-19,106.43,3.1,51.72,-12,980,N/A
2017,1,4,19,0,0,0,0,-19,111.87,3.1,54.14,-12,980,N/A
2017,1,4,19,30,0,0,0,-19,117.4,3,54.13,-12,980,N/A
2017,1,4,20,0,0,0,0,-18,122.98,3,61.32,-13,980,N/A
2017,1,4,20,30,0,0,0,-18,128.58,2.9000000000000004,61.31,-13,980,N/A
2017,1,4,21,0,0,0,0,-18,134.15,2.9000000000000004,63.28,-13,980,N/A
2017,1,4,21,30,0,0,0,-18,139.64000000000001,2.8000000000000003,63.28,-13,980,N/A
2017,1,4,22,0,0,0,0,-18,144.96,2.8000000000000003,64.76,-13,980,N/A
2017,1,4,22,30,0,0,0,-18,149.98,2.8000000000000003,64.76,-13,980,N/A
2017,1,4,23,0,0,0,0,-18,154.49,2.9000000000000004,65.8,-13,980,N/A
2017,1,4,23,30,0,0,0,-18,158.14000000000001,3,65.79,-13,980,N/A
2017,1,5,0,0,0,0,0,-17,160.43,3.1,66.42,-13,980,N/A
2017,1,5,0,30,0,0,0,-17,160.83,3.1,66.41,-13,980,N/A
2017,1,5,1,0,0,0,0,-17,159.25,3.2,66.31,-13,980,N/A
2017,1,5,1,30,0,0,0,-17,156.07,3.1,66.3,-13,980,N/A
2017,1,5,2,0,0,0,0,-18,151.85,3.1,66.03,-13,980,N/A
2017,1,5,2,30,0,0,0,-18,147,3,66.02,-13,980,N/A
2017,1,5,3,0,0,0,0,-18,141.78,3,65.83,-13,980,N/A
2017,1,5,3,30,0,0,0,-18,136.34,2.8000000000000003,65.81,-13,980,N/A
2017,1,5,4,0,0,0,0,-18,130.79,2.6,70.86,-14,980,N/A
2017,1,5,4,30,0,0,0,-18,125.2,2.5,70.85000000000001,-14,980,N/A
2017,1,5,5,0,0,0,0,-18,119.60000000000001,2.5,76.52,-15,980,N/A
2017,1,5,5,30,0,0,0,-18,114.04,2.6,76.52,-15,980,N/A
2017,1,5,6,0,0,0,0,-18,108.56,2.8000000000000003,76.87,-15,980,N/A
2017,1,5,6,30,0,0,0,-18,103.18,3,76.88,-15,980,N/A
2017,1,5,7,0,0,0,0,-18,97.95,3.4000000000000004,77.09,-15,980,N/A
2017,1,5,7,30,0,0,0,-18,92.89,3.7,71.02,-14,980,N/A
2017,1,5,8,0,25,0,25,-18,88.06,4.1000000000000005,69.94,-14,980,N/A
2017,1,5,8,30,34,551,97,-18,83.5,4.5,64.49,-13,980,N/A
2017,1,5,9,0,49,691,177,-19,79.26,5,58.620000000000005,-13,980,N/A
2017,1,5,9,30,59,783,256,-19,75.41,5.1000000000000005,58.620000000000005,-13,980,N/A
2017,1,5,10,0,68,843,328,-20,72.02,5.300000000000001,53.89,-13,980,N/A
2017,1,5,10,30,90,601,304,-20,69.15,5.300000000000001,49.7,-13,980,N/A
2017,1,5,11,0,80,700,355,-20,66.87,5.4,47.31,-13,980,N/A
2017,1,5,11,30,182,111,229,-20,65.26,5.4,47.29,-12,980,N/A
2017,1,5,12,0,189,115,239,-21,64.36,5.5,45.43,-12,980,N/A
2017,1,5,12,30,77,767,411,-21,64.2,5.5,45.42,-12,980,N/A
2017,1,5,13,0,87,713,390,-21,64.79,5.5,44.15,-12,980,N/A
2017,1,5,13,30,173,205,256,-21,66.11,5.4,44.160000000000004,-12,980,N/A
2017,1,5,14,0,137,12,141,-21,68.11,5.300000000000001,43.52,-12,980,N/A
2017,1,5,14,30,119,8,122,-21,70.74,5.2,43.53,-12,980,N/A
2017,1,5,15,0,98,2,99,-21,73.93,5.2,43.52,-12,980,N/A
2017,1,5,15,30,73,0,73,-21,77.59,5,43.53,-12,980,N/A
2017,1,5,16,0,45,0,45,-21,81.67,4.9,47.410000000000004,-13,980,N/A
2017,1,5,16,30,18,0,18,-21,86.10000000000001,4.6000000000000005,47.42,-13,980,N/A
2017,1,5,17,0,0,0,0,-21,90.82000000000001,4.3,48.39,-13,980,N/A
2017,1,5,17,30,0,0,0,-21,95.79,3.9000000000000004,48.4,-13,980,N/A
2017,1,5,18,0,0,0,0,-21,100.96000000000001,3.6,54.49,-14,980,N/A
2017,1,5,18,30,0,0,0,-21,106.28,3.2,54.5,-14,980,N/A
2017,1,5,19,0,0,0,0,-20,111.72,2.8000000000000003,57.54,-14,980,N/A
2017,1,5,19,30,0,0,0,-20,117.25,2.5,57.53,-14,980,N/A
2017,1,5,20,0,0,0,0,-20,122.83,2.2,65.2,-15,980,N/A
2017,1,5,20,30,0,0,0,-20,128.43,2.2,65.19,-15,980,N/A
2017,1,5,21,0,0,0,0,-19,134,2.3000000000000003,66.18,-15,980,N/A
2017,1,5,21,30,0,0,0,-19,139.49,2.5,66.19,-15,980,N/A
2017,1,5,22,0,0,0,0,-19,144.8,2.8000000000000003,66.14,-15,980,N/A
2017,1,5,22,30,0,0,0,-19,149.82,3,66.14,-15,980,N/A
2017,1,5,23,0,0,0,0,-20,154.34,3.2,65.21000000000001,-15,980,N/A
2017,1,5,23,30,0,0,0,-20,157.99,3.4000000000000004,65.22,-15,980,N/A
2017,1,6,0,0,0,0,0,-20,160.29,3.7,67.15,-16,980,N/A
2017,1,6,0,30,0,0,0,-20,160.72,3.7,67.16,-16,980,N/A
2017,1,6,1,0,0,0,0,-21,159.17000000000002,3.8000000000000003,62.690000000000005,-16,980,N/A
2017,1,6,1,30,0,0,0,-21,156.03,3.7,62.690000000000005,-16,980,N/A
2017,1,6,2,0,0,0,0,-22,151.83,3.6,59,-16,980,N/A
2017,1,6,2,30,0,0,0,-22,146.99,3.5,59,-16,980,N/A
2017,1,6,3,0,0,0,0,-22,141.78,3.5,61.7,-17,980,N/A
2017,1,6,3,30,0,0,0,-22,136.35,3.3000000000000003,61.71,-17,980,N/A
2017,1,6,4,0,0,0,0,-22,130.81,3.1,60.42,-17,980,N/A
2017,1,6,4,30,0,0,0,-22,125.21000000000001,2.8000000000000003,60.43,-17,980,N/A
2017,1,6,5,0,0,0,0,-22,119.61,2.6,59.980000000000004,-17,980,N/A
2017,1,6,5,30,0,0,0,-22,114.05,2.4000000000000004,60.01,-17,980,N/A
2017,1,6,6,0,0,0,0,-22,108.56,2.3000000000000003,60.02,-18,980,N/A
2017,1,6,6,30,0,0,0,-22,103.18,2.2,60.04,-18,980,N/A
2017,1,6,7,0,0,0,0,-22,97.94,2.1,66.48,-18,980,N/A
2017,1,6,7,30,0,0,0,-22,92.88,2.5,61.11,-17,980,N/A
2017,1,6,8,0,15,281,25,-23,88.04,3,58.4,-17,980,N/A
2017,1,6,8,30,32,556,96,-23,83.47,3.2,53.72,-16,980,N/A
2017,1,6,9,0,44,703,175,-23,79.23,3.5,52.300000000000004,-16,980,N/A
2017,1,6,9,30,51,792,252,-23,75.36,3.5,48.14,-15,980,N/A
2017,1,6,10,0,56,856,321,-22,71.96000000000001,3.5,50.620000000000005,-15,980,N/A
2017,1,6,10,30,122,412,269,-22,69.07000000000001,3.4000000000000004,46.61,-14,980,N/A
2017,1,6,11,0,133,430,302,-22,66.79,3.3000000000000003,46.5,-13,980,N/A
2017,1,6,11,30,169,284,289,-22,65.16,3.2,42.87,-12,980,N/A
2017,1,6,12,0,181,273,300,-21,64.24,3.1,46.64,-12,980,N/A
2017,1,6,12,30,162,400,337,-21,64.08,3,43.04,-11,980,N/A
2017,1,6,13,0,157,403,330,-20,64.66,2.9000000000000004,46.59,-11,980,N/A
2017,1,6,13,30,154,363,302,-20,65.97,2.8000000000000003,43.04,-10,980,N/A
2017,1,6,14,0,62,898,399,-19,67.96000000000001,2.7,45.92,-10,980,N/A
2017,1,6,14,30,58,863,345,-19,70.59,2.5,45.93,-10,980,N/A
2017,1,6,15,0,53,810,280,-18,73.77,2.4000000000000004,48.49,-10,980,N/A
2017,1,6,15,30,47,734,206,-18,77.43,1.9000000000000001,48.51,-10,980,N/A
2017,1,6,16,0,37,620,128,-17,81.51,1.5,59.160000000000004,-11,980,N/A
2017,1,6,16,30,23,423,53,-17,85.94,1.2000000000000002,59.18,-11,980,N/A
2017,1,6,17,0,0,0,0,-16,90.66,0.9,70.61,-12,980,N/A
2017,1,6,17,30,0,0,0,-16,95.64,1.1,70.64,-12,980,N/A
2017,1,6,18,0,0,0,0,-16,100.8,1.3,67.98,-13,990,N/A
2017,1,6,18,30,0,0,0,-16,106.12,1.5,68,-13,990,N/A
2017,1,6,19,0,0,0,0,-16,111.56,1.8,72.02,-13,990,N/A
2017,1,6,19,30,0,0,0,-16,117.09,2,72.03,-13,990,N/A
2017,1,6,20,0,0,0,0,-17,122.68,2.2,70.98,-13,990,N/A
2017,1,6,20,30,0,0,0,-17,128.28,2.2,70.98,-13,990,N/A
2017,1,6,21,0,0,0,0,-17,133.85,2.3000000000000003,75.65,-14,990,N/A
2017,1,6,21,30,0,0,0,-17,139.33,2.4000000000000004,75.65,-14,990,N/A
2017,1,6,22,0,0,0,0,-17,144.65,2.5,74.41,-14,990,N/A
2017,1,6,22,30,0,0,0,-17,149.66,2.6,74.42,-14,990,N/A
2017,1,6,23,0,0,0,0,-17,154.18,2.7,73.75,-14,990,N/A
2017,1,6,23,30,0,0,0,-17,157.84,2.7,73.75,-14,990,N/A
2017,1,7,0,0,0,0,0,-17,160.15,2.7,73.61,-14,990,N/A
2017,1,7,0,30,0,0,0,-17,160.61,2.7,73.61,-14,990,N/A
2017,1,7,1,0,0,0,0,-17,159.09,2.7,73.95,-14,990,N/A
2017,1,7,1,30,0,0,0,-17,155.97,2.6,73.96000000000001,-14,990,N/A
2017,1,7,2,0,0,0,0,-17,151.8,2.6,74.43,-14,990,N/A
2017,1,7,2,30,0,0,0,-17,146.98,2.6,74.44,-14,990,N/A
2017,1,7,3,0,0,0,0,-17,141.77,2.6,75.11,-14,990,N/A
2017,1,7,3,30,0,0,0,-17,136.35,2.3000000000000003,75.12,-14,990,N/A
2017,1,7,4,0,0,0,0,-17,130.81,2.1,75.86,-14,990,N/A
2017,1,7,4,30,0,0,0,-17,125.22,1.7000000000000002,75.88,-14,990,N/A
2017,1,7,5,0,0,0,0,-17,119.62,1.4000000000000001,82.93,-15,990,N/A
2017,1,7,5,30,0,0,0,-17,114.05,1.2000000000000002,82.95,-15,990,N/A
2017,1,7,6,0,0,0,0,-17,108.56,1.1,84.01,-15,990,N/A
2017,1,7,6,30,0,0,0,-17,103.18,1.1,84.04,-15,990,N/A
2017,1,7,7,0,0,0,0,-16,97.93,1.1,92.61,-16,990,N/A
2017,1,7,7,30,0,0,0,-16,92.86,1.5,85.28,-15,990,N/A
2017,1,7,8,0,14,287,24,-16,88.01,2,81.13,-14,990,N/A
2017,1,7,8,30,31,551,94,-16,83.44,2.3000000000000003,74.82000000000001,-13,990,N/A
2017,1,7,9,0,42,700,173,-15,79.18,2.7,73.35000000000001,-12,990,N/A
2017,1,7,9,30,49,789,249,-15,75.31,3,62.58,-10,990,N/A
2017,1,7,10,0,54,852,319,-15,71.89,3.4000000000000004,59.84,-9,990,N/A
2017,1,7,10,30,58,892,378,-15,68.99,3.6,55.36,-8,990,N/A
2017,1,7,11,0,60,921,425,-14,66.69,3.8000000000000003,53.410000000000004,-7,990,N/A
2017,1,7,11,30,62,938,458,-14,65.05,4,49.47,-6,990,N/A
